IMO,Navio,Operação,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Ultima Atualizacao
9801718,SCARLETT MANX,EXPORTAÇÃO,200,63.878,SOJA,55.000,6.4,FERTIMPORT,01/08/23
9911587,CL GENEVA,EXPORTAÇÃO,230,85.229,SOJA,72.600,7,LBH BRASIL,01/08/23
9194397,IKARIA ANGEL,EXPORTAÇÃO,190,46.677,MILHO,43.500,7,LBH BRASIL,01/08/23
9959761,DELIGHT DIVA,EXPORTAÇÃO,229,82.216,MILHO,70.000,7,ALPHAMAR,01/08/23
9267211,FORTUNE SUN,EXPORTAÇÃO,225,74.193,SOJA,66.000,7,LBH BRASIL,01/08/23
9313058,IOLCOS UNITY,EXPORTAÇÃO,225,74.476,SOJA,64.000,7,LBH BRASIL,01/08/23
9849265,CLEAROCEAN MELODY,IMPORTAÇÃO,183,49.995,DIESEL,41.000,11,LACHMANN,01/08/23
9911587,CL GENEVA,EXPORTAÇÃO,230,85.229,OLEO.COMBUSTÍVEL,350,7.6,LBH BRASIL,01/08/23
9411305,TORM CORRIDO,IMPORTAÇÃO,183,46.156,GASOLINE A,13.404,9.5,ZYON SHIPPING,01/08/23
9390020,STENA PROGRESS,EXPORTAÇÃO,183,65.118,DIESEL,18.400,6,LACHMANN,01/08/23
9757785,NAVIOS ALEGRIA,EXPORTAÇÃO,229,84.852,SOJA,73.500,7.9,CARGONAVE,01/08/23
9638501,THOR CHAICHANA,EXPORTAÇÃO,197,58.605,GRAOS,51.500,6.2,FERTIMPORT,01/08/23
9452593,GIEWONT,EXPORTAÇÃO,229,79.586,SOJA,65.000,6,FERTIMPORT,01/08/23
9491264,KIRAN AMERICA,EXPORTAÇÃO,190,56.666,MILHO,550,7,ALPHAMAR,01/08/23
9660528,BAHRI GRAIN,EXPORTAÇÃO,229,81.855,MILHO,65.000,9.34,ROCHAMAR,01/08/23
9313058,IOLCOS UNITY,EXPORTAÇÃO,225,74.476,OLEO.COMBUSTÍVEL,400,5.5,LBH BRASIL,01/08/23
9594456,SEAHORSE,IMPORTAÇÃO,177,32.962,ARROZ,12.382,9.2,HARMS E CIA,04/08/23
9263069,MORNINGSTAR,IMPORTAÇÃO,190,46.859,MES9,23.403,9.62,ROCHAMAR,04/08/23
9606833,FEDERAL SKYE,IMPORTAÇÃO,190,37.133,ANTRACITA,33.000,9.65,ISS MARINE,04/08/23
9313022,STAR OMICRON,IMPORTAÇÃO,190,53.489,FERTILIZANTES,42.628,11.06,LBH BRASIL,04/08/23
9385166,ECO ANGELBAY,IMPORTAÇÃO,175,32.165,FERTILIZANTES,13.400,8,WILHELMSEN PORT SERVICES BRASIL LTDA,04/08/23
9460289,NORAH,IMPORTAÇÃO,180,35.957,MES9,7.000,8.8,ROCHAMAR,04/08/23
9667722,CHISE BULKER,IMPORTAÇÃO,180,33.355,FERTILIZANTES,15.000,9.04,AMART SERVICES,04/08/23
9596832,DARCY RIBEIRO,IMPORTAÇÃO,117,5.583,GLP,3.500,6.2,LACHMANN,04/08/23
9959761,DELIGHT DIVA,EXPORTAÇÃO,229,82.216,MILHO,70.000,7,ALPHAMAR,04/08/23
9717175,YUN TONG,EXPORTAÇÃO,229,81.604,MILHO,68.935,7.9,CARGONAVE,04/08/23
9313058,IOLCOS UNITY,EXPORTAÇÃO,225,74.476,SOJA,64.000,7,LBH BRASIL,04/08/23
9267211,FORTUNE SUN,EXPORTAÇÃO,225,74.193,SOJA,66.000,7,LBH BRASIL,04/08/23
9464508,ROSE,EXPORTAÇÃO,225,76.619,SOJA,69.300,7,ALPHAMAR,04/08/23
9527441,CHRYSANTHI S,EXPORTAÇÃO,229,80.268,MILHO,66.450,7,LBH BRASIL,04/08/23
9801718,SCARLETT MANX,EXPORTAÇÃO,200,63.878,SOJA,55.000,6.4,FERTIMPORT,04/08/23
9717709,SALAMINIAN,EXPORTAÇÃO,229,81.565,SOJA,70.015,7.9,CARGONAVE,04/08/23
9947249,JEN LR,EXPORTAÇÃO,229,82.411,SOJA,71.420,6.96,CARGONAVE,04/08/23
9953444,ANIKITOS,IMPORTAÇÃO,183,50.113,DIESEL,20.672,12.5,NORTH STAR,04/08/23
9430167,MERAPI,IMPORTAÇÃO,185,46.872,DIESEL,14.740,10.1,WILSON SONS SHIPPING SERVICES LTDA,05/08/23
9849265,CLEAROCEAN MELODY,IMPORTAÇÃO,183,49.995,DIESEL,41.000,11,LACHMANN,04/08/23
9911587,CL GENEVA,EXPORTAÇÃO,230,85.229,OLEO.COMBUSTÍVEL,350,7.6,LBH BRASIL,04/08/23
9491264,KIRAN AMERICA,EXPORTAÇÃO,190,56.666,MILHO,550,7,ALPHAMAR,04/08/23
9452593,GIEWONT,EXPORTAÇÃO,229,79.586,SOJA,65.000,6,FERTIMPORT,04/08/23
9452610,ORNAK,EXPORTAÇÃO,229,79.677,GRAOS,65.000,6.8,FERTIMPORT,04/08/23
9660528,BAHRI GRAIN,EXPORTAÇÃO,229,81.855,MILHO,65.000,9.34,ROCHAMAR,04/08/23
9313058,IOLCOS UNITY,EXPORTAÇÃO,225,74.476,OLEO.COMBUSTÍVEL,400,5.5,LBH BRASIL,04/08/23
9403334,AVANTI,IMPORTAÇÃO,180,45.965,OUTRAS,21.993,9.3,NORTH STAR,04/08/23
9606833,FEDERAL SKYE,IMPORTAÇÃO,190,37.133,ANTRACITA,33.000,9.65,ISS MARINE,07/08/23
9267211,FORTUNE SUN,EXPORTAÇÃO,225,74.193,SOJA,66.000,7,LBH BRASIL,08/08/23
9263069,MORNINGSTAR,IMPORTAÇÃO,190,46.859,MES9,23.403,9.62,ROCHAMAR,07/08/23
9385166,ECO ANGELBAY,IMPORTAÇÃO,175,32.165,FERTILIZANTES,13.400,8,WILHELMSEN PORT SERVICES BRASIL LTDA,07/08/23
9594456,SEAHORSE,IMPORTAÇÃO,177,32.962,ARROZ,12.382,9.2,HARMS E CIA,07/08/23
9313022,STAR OMICRON,IMPORTAÇÃO,190,53.489,FERTILIZANTES,42.628,11.06,LBH BRASIL,07/08/23
9460289,NORAH,IMPORTAÇÃO,180,35.957,MES9,7.000,8.8,ROCHAMAR,07/08/23
9667722,CHISE BULKER,IMPORTAÇÃO,180,33.355,FERTILIZANTES,15.000,9.04,AMART SERVICES,07/08/23
9596832,DARCY RIBEIRO,IMPORTAÇÃO,117,5.583,GLP,3.500,6.2,LACHMANN,07/08/23
9213935,INDUSTRIAL CHALLENGER,IMPORTAÇÃO,120,8.057,CARGA GERAL,157,7.1,ORION RODOS,08/08/23
9801718,SCARLETT MANX,EXPORTAÇÃO,200,63.878,SOJA,55.000,6.4,FERTIMPORT,07/08/23
9464508,ROSE,EXPORTAÇÃO,225,76.619,SOJA,69.300,7,ALPHAMAR,07/08/23
9527441,CHRYSANTHI S,EXPORTAÇÃO,229,80.268,MILHO,66.450,7,LBH BRASIL,07/08/23
9313058,IOLCOS UNITY,EXPORTAÇÃO,225,74.476,SOJA,64.000,7,LBH BRASIL,07/08/23
9717709,SALAMINIAN,EXPORTAÇÃO,229,81.565,SOJA,70.015,7.9,CARGONAVE,07/08/23
9717175,YUN TONG,EXPORTAÇÃO,229,81.604,MILHO,68.935,7.9,CARGONAVE,07/08/23
9588005,DRAGON,EXPORTAÇÃO,229,81.379,MILHO,69.150,7.22,CARGONAVE,07/08/23
9849265,CLEAROCEAN MELODY,IMPORTAÇÃO,183,49.995,DIESEL,41.000,11,LACHMANN,07/08/23
9953444,ANIKITOS,IMPORTAÇÃO,183,50.113,DIESEL,20.672,12.5,NORTH STAR,07/08/23
9849265,CLEAROCEAN MELODY,IMPORTAÇÃO,183,49.995,DIESEL,41.000,11,LACHMANN,07/08/23
9911587,CL GENEVA,EXPORTAÇÃO,230,85.229,OLEO.COMBUSTÍVEL,350,7.6,LBH BRASIL,07/08/23
9491264,KIRAN AMERICA,EXPORTAÇÃO,190,56.666,MILHO,550,7,ALPHAMAR,07/08/23
9452610,ORNAK,EXPORTAÇÃO,229,79.677,GRAOS,65.000,6.8,FERTIMPORT,07/08/23
9660528,BAHRI GRAIN,EXPORTAÇÃO,229,81.855,MILHO,65.000,9.34,ROCHAMAR,07/08/23
9353113,HANA,IMPORTAÇÃO,184,37.321,DIESEL,40.000,10.6,WILSON SONS SHIPPING SERVICES LTDA,07/08/23
9313058,IOLCOS UNITY,EXPORTAÇÃO,225,74.476,OLEO.COMBUSTÍVEL,400,5.5,LBH BRASIL,07/08/23
9606833,FEDERAL SKYE,IMPORTAÇÃO,190,37.133,ANTRACITA,33.000,9.65,ISS MARINE,09/08/23
9263069,MORNINGSTAR,IMPORTAÇÃO,190,46.859,MES9,23.403,9.62,ROCHAMAR,09/08/23
9594456,SEAHORSE,IMPORTAÇÃO,177,32.962,ARROZ,12.382,9.2,HARMS E CIA,09/08/23
9385166,ECO ANGELBAY,IMPORTAÇÃO,175,32.165,FERTILIZANTES,13.400,8,WILHELMSEN PORT SERVICES BRASIL LTDA,09/08/23
9667722,CHISE BULKER,IMPORTAÇÃO,180,33.355,FERTILIZANTES,15.000,9.04,AMART SERVICES,09/08/23
9527441,CHRYSANTHI S,EXPORTAÇÃO,229,80.268,MILHO,66.450,7,LBH BRASIL,09/08/23
9801718,SCARLETT MANX,EXPORTAÇÃO,200,63.878,SOJA,55.000,6.4,FERTIMPORT,09/08/23
9464508,ROSE,EXPORTAÇÃO,225,76.619,SOJA,69.300,7,ALPHAMAR,09/08/23
9588005,DRAGON,EXPORTAÇÃO,229,81.379,MILHO,69.150,7.22,CARGONAVE,09/08/23
9717175,YUN TONG,EXPORTAÇÃO,229,81.604,MILHO,68.935,7.9,CARGONAVE,09/08/23
9313058,IOLCOS UNITY,EXPORTAÇÃO,225,74.476,SOJA,64.000,7,LBH BRASIL,09/08/23
9717709,SALAMINIAN,EXPORTAÇÃO,229,81.565,SOJA,70.015,7.9,CARGONAVE,09/08/23
9836440,AVON,IMPORTAÇÃO,183,49.999,DIESEL,18.700,11.2,LACHMANN,09/08/23
9911587,CL GENEVA,EXPORTAÇÃO,230,85.229,OLEO.COMBUSTÍVEL,350,7.6,LBH BRASIL,09/08/23
9953444,ANIKITOS,IMPORTAÇÃO,183,50.113,DIESEL,29.572,12.5,NORTH STAR,09/08/23
9452610,ORNAK,EXPORTAÇÃO,229,79.677,GRAOS,65.000,6.8,FERTIMPORT,09/08/23
9660528,BAHRI GRAIN,EXPORTAÇÃO,229,81.855,MILHO,65.000,9.34,ROCHAMAR,09/08/23
9491264,KIRAN AMERICA,EXPORTAÇÃO,190,56.666,MILHO,550,7,ALPHAMAR,09/08/23
9313058,IOLCOS UNITY,EXPORTAÇÃO,225,74.476,OLEO.COMBUSTÍVEL,400,5.5,LBH BRASIL,09/08/23
9849265,CLEAROCEAN MELODY,IMPORTAÇÃO,183,49.995,DIESEL,41.000,11,LACHMANN,09/08/23
9353113,HANA,IMPORTAÇÃO,184,37.321,DIESEL,40.000,10.6,WILSON SONS SHIPPING SERVICES LTDA,09/08/23
9529592,EAGLE ARROW,EXPORTAÇÃO,200,62.967,CELULOSE,16.620,7,WILSON SONS SHIPPING SERVICES LTDA,13/08/23
9583756,GEORGIA T,EXPORTAÇÃO,229,80.415,SOJA,63.000,7,L.M.A. SHIPPING & CONSULTING,11/08/23
9606833,FEDERAL SKYE,IMPORTAÇÃO,190,37.133,ANTRACITA,33.000,9.65,ISS MARINE,11/08/23
9748033,CRIMSON KINGDOM,EXPORTAÇÃO,228,84.860,MILHO,71.500,7,L.M.A. SHIPPING & CONSULTING,11/08/23
9717175,YUN TONG,EXPORTAÇÃO,229,81.604,MILHO,68.935,7.9,CARGONAVE,11/08/23
9498432,TINA S,IMPORTAÇÃO,180,34.689,FERTILIZANTES,21.467,11.5,WILSON SONS SHIPPING SERVICES LTDA,13/08/23
9667722,CHISE BULKER,IMPORTAÇÃO,180,33.355,FERTILIZANTES,15.000,9.04,AMART SERVICES,11/08/23
9594456,SEAHORSE,IMPORTAÇÃO,177,32.962,ARROZ,12.382,9.2,HARMS E CIA,11/08/23
9596844,BARBOSA LIMA SOBRINHO,IMPORTAÇÃO,118,5.095,GLP,35,6.3,LACHMANN,11/08/23
9801718,SCARLETT MANX,EXPORTAÇÃO,200,63.878,SOJA,55.000,6.4,FERTIMPORT,13/08/23
9578294,BADGER ISLAND,EXPORTAÇÃO,190,58.086,SOJA,50.000,6,LBH BRASIL,11/08/23
9588005,DRAGON,EXPORTAÇÃO,229,81.379,MILHO,69.150,7.22,CARGONAVE,11/08/23
9600633,ASL JUPITER,EXPORTAÇÃO,229,81.641,SOJA,69.080,7.2,ALPHAMAR,11/08/23
9693769,PREVAIL STAR,EXPORTAÇÃO,229,81.055,SOJA,66.000,7.7,FERTIMPORT,11/08/23
9464508,ROSE,EXPORTAÇÃO,225,76.619,SOJA,69.300,7,ALPHAMAR,11/08/23
9911587,CL GENEVA,EXPORTAÇÃO,230,85.229,OLEO.COMBUSTÍVEL,350,7.6,LBH BRASIL,11/08/23
9491264,KIRAN AMERICA,EXPORTAÇÃO,190,56.666,MILHO,550,7,ALPHAMAR,11/08/23
9313058,IOLCOS UNITY,EXPORTAÇÃO,225,74.476,OLEO.COMBUSTÍVEL,400,5.5,LBH BRASIL,11/08/23
9597795,TINOS,EXPORTAÇÃO,229,81.391,MILHO,58.180,7.1,CARGONAVE,13/08/23
9489912,ROMULO ALMEIDA,EXPORTAÇÃO,183,48.300,DIESEL  S 500,7.500,7.5,LACHMANN,13/08/23
9693769,PREVAIL STAR,EXPORTAÇÃO,229,81.055,SOJA,66.000,7.7,FERTIMPORT,19/08/23
9578294,BADGER ISLAND,EXPORTAÇÃO,190,58.086,SOJA,50.000,6,LBH BRASIL,19/08/23
9519157,STORMHARBOUR,EXPORTAÇÃO,225,76.583,MILHO,67.500,7.5,CARGONAVE,20/08/23
9473341,NESTOR S,EXPORTAÇÃO,225,75.039,MILHO,73.000,7,ALPHAMAR,19/08/23
9600633,ASL JUPITER,EXPORTAÇÃO,229,81.641,SOJA,69.080,7.2,ALPHAMAR,19/08/23
9185073,MAHA JACQUELINE,EXPORTAÇÃO,225,75.592,MILHO,67.650,7.1,CARGONAVE,20/08/23
9606833,FEDERAL SKYE,IMPORTAÇÃO,190,37.133,ANTRACITA,33.000,9.65,ISS MARINE,19/08/23
9007532,JACAMAR ARROW,IMPORTAÇÃO,199,46.998,MAP,15.658,8.6,ROCHAMAR,20/08/23
9363663,RIVER PEARL,IMPORTAÇÃO,189,52.224,CALCARIO,47,11.48,ISS MARINE,19/08/23
9707754,CIELO DI TAMPA,IMPORTAÇÃO,180,39.202,MES9,8.000,9.3,ROCHAMAR,19/08/23
9801275,PACIFIC WAVE,EXPORTAÇÃO,180,37.644,COBRE,24.100,6.1,LBH BRASIL,19/08/23
9748033,CRIMSON KINGDOM,EXPORTAÇÃO,228,84.860,MILHO,71.500,7,L.M.A. SHIPPING & CONSULTING,19/08/23
9781085,ULTRALAZ,EXPORTAÇÃO,200,63.700,SOJA,58.000,6.7,ROCHAMAR,19/08/23
9595723,GOLDEN KEEN,EXPORTAÇÃO,229,81.586,GRAOS,63.530,8,WILSON SONS SHIPPING SERVICES LTDA,19/08/23
9314624,G.B.CORRADO,EXPORTAÇÃO,225,77.061,MILHO,68.700,6.9,CARGONAVE,19/08/23
9548237,CLIA,EXPORTAÇÃO,229,92.967,MILHO,75.000,7.51,ALPHAMAR,19/08/23
9500883,HONG YUAN,EXPORTAÇÃO,225,76.573,MILHO,66.000,7.11,CARGONAVE,19/08/23
9609433,SCARLET FALCON,EXPORTAÇÃO,229,82.260,SOJA,72.290,6,LBH BRASIL,19/08/23
9911587,CL GENEVA,EXPORTAÇÃO,230,85.229,OLEO.COMBUSTÍVEL,350,7.6,LBH BRASIL,19/08/23
9597795,TINOS,EXPORTAÇÃO,229,81.391,MILHO,58.180,7.1,CARGONAVE,19/08/23
9576727,TEAM VIEW,EXPORTAÇÃO,178,36.254,FERRO,34.000,7,LBH BRASIL,19/08/23
9786190,MAERSK CRETE,IMPORTAÇÃO,183,49.919,GASOLINA,19.900,11,LACHMANN,20/08/23
9335123,MILOU,IMPORTAÇÃO,184,37.488,DIESEL,31.991,10.6,WILSON SONS SHIPPING SERVICES LTDA,20/08/23
9617430,CAPTAIN J. NEOFOTISTOS,EXPORTAÇÃO,229,79.510,MILHO,71.500,7.65,CARGONAVE,25/08/23
9609433,SCARLET FALCON,EXPORTAÇÃO,229,82.260,SOJA,72.290,6,LBH BRASIL,25/08/23
9606833,FEDERAL SKYE,IMPORTAÇÃO,190,37.133,ANTRACITA,33.000,9.65,ISS MARINE,25/08/23
9519157,STORMHARBOUR,EXPORTAÇÃO,225,76.583,MILHO,67.500,7.5,CARGONAVE,25/08/23
9185073,MAHA JACQUELINE,EXPORTAÇÃO,225,75.592,MILHO,67.650,7.1,CARGONAVE,25/08/23
9473341,NESTOR S,EXPORTAÇÃO,225,75.039,MILHO,73.000,7,ALPHAMAR,25/08/23
9314624,G.B.CORRADO,EXPORTAÇÃO,225,77.061,MILHO,68.700,6.9,CARGONAVE,25/08/23
9363663,RIVER PEARL,IMPORTAÇÃO,189,52.224,CALCARIO,47,11.48,ISS MARINE,25/08/23
9925760,ULTRA RELIANCE,EXPORTAÇÃO,200,63.662,COBRE,0,8.68,WILHELMSEN PORT SERVICES BRASIL LTDA,25/08/23
9684225,STAR MISTRAL,EXPORTAÇÃO,200,63.250,SOJA,55.000,6.4,FERTIMPORT,25/08/23
9748033,CRIMSON KINGDOM,EXPORTAÇÃO,228,84.860,MILHO,71.500,7,L.M.A. SHIPPING & CONSULTING,25/08/23
9781085,ULTRALAZ,EXPORTAÇÃO,200,63.700,SOJA,58.000,6.7,ROCHAMAR,25/08/23
9500883,HONG YUAN,EXPORTAÇÃO,225,76.573,MILHO,66.000,7.11,CARGONAVE,25/08/23
9600633,ASL JUPITER,EXPORTAÇÃO,229,81.641,SOJA,69.080,7.2,ALPHAMAR,25/08/23
9919929,AGILITY DIVA,EXPORTAÇÃO,229,88.977,MILHO,77.000,7,ALPHAMAR,25/08/23
9719575,STEFANOS,EXPORTAÇÃO,229,81.237,SOJA,700,8.1,LBH BRASIL,25/08/23
9440394,SEACON 9,EXPORTAÇÃO,225,74.844,SOJA,63.000,6.85,ORION RODOS,25/08/23
9693769,PREVAIL STAR,EXPORTAÇÃO,229,81.055,SOJA,66.000,7.7,FERTIMPORT,25/08/23
9380087,JOROPO,EXPORTAÇÃO,183,47.410,DIESEL,50.000,8.4,LACHMANN,25/08/23
9911587,CL GENEVA,EXPORTAÇÃO,230,85.229,OLEO.COMBUSTÍVEL,350,7.6,LBH BRASIL,25/08/23
9904871,TORM HELENE,IMPORTAÇÃO,250,115.575,DIESEL,120.000,14,LACHMANN,25/08/23
9186780,TEAL ARROW,EXPORTAÇÃO,173,36.466,CELULOSE,30.000,7,WILSON SONS SHIPPING SERVICES LTDA,27/08/23
9530644,IOLCOS DIGNITY,EXPORTAÇÃO,229,34.317,GRAOS,73.644,8.4,LBH BRASIL,27/08/23
9500883,HONG YUAN,EXPORTAÇÃO,225,76.573,MILHO,66.000,7.11,CARGONAVE,27/08/23
9519157,STORMHARBOUR,EXPORTAÇÃO,225,76.583,MILHO,67.500,7.5,CARGONAVE,27/08/23
9781085,ULTRALAZ,EXPORTAÇÃO,200,63.700,SOJA,58.000,6.7,ROCHAMAR,27/08/23
9617430,CAPTAIN J. NEOFOTISTOS,EXPORTAÇÃO,229,79.510,MILHO,71.500,7.65,CARGONAVE,27/08/23
9185073,MAHA JACQUELINE,EXPORTAÇÃO,225,75.592,MILHO,67.650,7.1,CARGONAVE,27/08/23
9606833,FEDERAL SKYE,IMPORTAÇÃO,190,37.133,ANTRACITA,33.000,9.65,ISS MARINE,27/08/23
9363663,RIVER PEARL,IMPORTAÇÃO,189,52.224,CALCARIO,47,11.48,ISS MARINE,27/08/23
9684225,STAR MISTRAL,EXPORTAÇÃO,200,63.250,SOJA,55.000,6.4,FERTIMPORT,27/08/23
9693769,PREVAIL STAR,EXPORTAÇÃO,229,81.055,SOJA,66.000,7.7,FERTIMPORT,27/08/23
9748033,CRIMSON KINGDOM,EXPORTAÇÃO,228,84.860,MILHO,71.500,7,L.M.A. SHIPPING & CONSULTING,27/08/23
9440394,SEACON 9,EXPORTAÇÃO,225,74.844,SOJA,63.000,6.85,ORION RODOS,27/08/23
9919929,AGILITY DIVA,EXPORTAÇÃO,229,88.977,MILHO,77.000,7,ALPHAMAR,27/08/23
9600633,ASL JUPITER,EXPORTAÇÃO,229,81.641,SOJA,69.080,7.2,ALPHAMAR,27/08/23
9314624,G.B.CORRADO,EXPORTAÇÃO,225,77.061,MILHO,68.700,6.9,CARGONAVE,27/08/23
9473341,NESTOR S,EXPORTAÇÃO,225,75.039,MILHO,73.000,7,ALPHAMAR,27/08/23
9634842,STAR CALYPSO,EXPORTAÇÃO,229,81.890,MILHO,71.500,7,ALPHAMAR,27/08/23
9719575,STEFANOS,EXPORTAÇÃO,229,81.237,SOJA,700,8.1,LBH BRASIL,27/08/23
9911587,CL GENEVA,EXPORTAÇÃO,230,85.229,OLEO.COMBUSTÍVEL,350,7.6,LBH BRASIL,27/08/23
9380087,JOROPO,EXPORTAÇÃO,183,47.410,DIESEL,50.000,8.4,LACHMANN,27/08/23
9423906,BACHATA,IMPORTAÇÃO,189,50.094,OLEO.COMBUSTÍVEL,4.000,8,LACHMANN,27/08/23
9582960,TATRY,EXPORTAÇÃO,229,82.138,GRAOS,66.000,6.8,FERTIMPORT,27/08/23
