IMO,Navio,Operação,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Ultima Atualizacao
9704441,ZOILO,IMPORTAÇÃO,183,49.990,DIESEL,51.871,12.5,NORTH STAR,24/06/23
9461702,HAFNIA PHOENIX,TRANSBORDO,183,49.999,DIESEL,41.180,7,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,24/06/23
9307578,SPAR SCORPIO,EXPORTAÇÃO,190,53.168,COBRE,43.100,5,WILHELMSEN PORT SERVICES BRASIL LTDA,24/06/23
9279800,PEDHOULAS MERCHANT,EXPORTAÇÃO,229,82.164,SOJA,65.000,7.2,LBH BRASIL,24/06/23
9405904,KLARA,IMPORTAÇÃO,183,49.999,DIESEL,26.082,11.6,NORTH STAR,24/06/23
9660657,OCEAN VENTURE,IMPORTAÇÃO,183,49.995,OLEO.COMBUSTÍVEL - ABASTECIMENTO NO 102,8.500,7,LACHMANN,24/06/23
9761956,SUNRISE,IMPORTAÇÃO,228,74.043,GASOLINA,82.180,12.7,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,24/06/23
9489895,CELSO FURTADO,IMPORTAÇÃO,183,48.300,DIESEL S 500,39.900,12,LACHMANN,24/06/23
9848338,MARITIME TRANQUILITY,IMPORTAÇÃO,183,49.999,DIESEL,33.171,11.6,LBH BRASIL,24/06/23
9798337,JINLING CONFIDENCE,IMPORTAÇÃO,180,40.320,STEEL PIPES,13.302,10.6,ORION RODOS,24/06/23
9423566,GREAT SEA,EXPORTAÇÃO,196,53.022,CELULOSE,14.000,10,WILSON SONS SHIPPING SERVICES LTDA,27/06/23
9569968,MANDARIN SINGAPORE,IMPORTAÇÃO,190,56.724,CALCARIO,40.000,11.3,WILHELMSEN PORT SERVICES BRASIL LTDA,27/06/23
9386407,SEA BRAVERY,IMPORTAÇÃO,190,58.722,MOP,49.431,11.6,ROCHAMAR,27/06/23
9659799,WL LADOGA,IMPORTAÇÃO,180,37.666,FERTILIZANTES,30.000,10,WILHELMSEN PORT SERVICES BRASIL LTDA,27/06/23
9748368,LA STELLA,IMPORTAÇÃO,200,61.250,MOP,27.060,10.9,ORION RODOS,27/06/23
9534470,INDUSTRIAL MERCHANT,IMPORTAÇÃO,116,10.049,OUTROS,252.530,6.9,ORION RODOS,27/06/23
9727182,LOWLANDS HOPE,IMPORTAÇÃO,200,60.063,OUTS.ADUBOS/FERTILIZ.MINER.QUIM.C/NITROGENIO,19.600,10.5,WILSON SONS SHIPPING SERVICES LTDA,27/06/23
9420825,DOLFIJNGRACHT,IMPORTAÇÃO,157,17.967,TRILHOS,3.471,7.33,TRANSGLOBAL OPERACOES PORTUARIAS LTDA,27/06/23
9758404,STALO,EXPORTAÇÃO,229,81.802,SOJA,71.102,6,LBH BRASIL,27/06/23
9589267,FARMER,EXPORTAÇÃO,229,81.541,SOJA,66.000,7.9,CARGONAVE,27/06/23
9956185,GITA,EXPORTAÇÃO,229,82.136,SOJA,70.841,7,ALPHAMAR,27/06/23
9481465,JOY,EXPORTAÇÃO,229,79.457,SOJA,65.000,7.65,FERTIMPORT,27/06/23
9315769,THE SAUCE,IMPORTAÇÃO,184,37.651,DIESEL,10.000,9.5,NORTH STAR,27/06/23
9660657,OCEAN VENTURE,IMPORTAÇÃO,183,49.995,OLEO.COMBUSTÍVEL - ABASTECIMENTO NO 102,8.500,7,LACHMANN,27/06/23
