IMO,Navio,Operação,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Prev Chegada,Ultima Atualização
9791963,INCHEON BAY,IMPORTAÇÃO,180,37.501,FERTILIZANTES,4.403,10.5,LBH BRASIL,29/06/23,27/06/23
9385166,ECO ANGELBAY,IMPORTAÇÃO,175,32.165,FERTILIZANTES,12.050,8,WILHELMSEN PORT SERVICES BRASIL LTDA,21/07/23,27/06/23
9719331,KIBO,IMPORTAÇÃO,182,38.896,FERTILIZANTES,14.251,8,LBH BRASIL,07/07/23,27/06/23
9671058,FEDERAL CHAMPLAIN,EXPORTAÇÃO,200,34.564,COBRE,11.550,7,WILHELMSEN PORT SERVICES BRASIL LTDA,13/07/23,27/06/23
9697832,FEDERAL BERING,IMPORTAÇÃO,200,34.564,MOP,20.842,6.1,ORION RODOS,10/07/23,27/06/23
9832456,EUCALYPTUS,IMPORTAÇÃO,180,36.300,FERTILIZANTES,7.000,10.2,LBH BRASIL,07/07/23,27/06/23
9703514,GENTLE SEAS,IMPORTAÇÃO,200,63.350,FERTILIZANTES,14.950,7,WILHELMSEN PORT SERVICES BRASIL LTDA,19/07/23,27/06/23
9684225,STAR MISTRAL,IMPORTAÇÃO,199,63.306,MOP,19.547,10.8,ORION RODOS,02/08/23,27/06/23
9599004,SEAMEC GALLANT,IMPORTAÇÃO,180,32.289,MAP,6.862,10.22,ORION RODOS,12/07/23,27/06/23
9422940,MYRSINI,EXPORTAÇÃO,229,82.117,SOJA,66.000,7.2,LBH BRASIL,28/06/23,27/06/23
9597123,YASA FALCON,EXPORTAÇÃO,229,81.488,SOJA,69.300,7.1,L.M.A. SHIPPING & CONSULTING,21/06/23,27/06/23
9718739,ARSINOE,EXPORTAÇÃO,229,81.616,MILHO,73.975,7.9,CARGONAVE,29/06/23,27/06/23
9749908,SAKIZAYA KALON,EXPORTAÇÃO,229,81.691,SOJA,78.830,7.4,LBH BRASIL,28/06/23,27/06/23
9461192,AEOLIAN FORTUNE,EXPORTAÇÃO,229,82.099,SOJA,68.550,7.56,CARGONAVE,04/07/23,27/06/23
9418444,KESARIA,EXPORTAÇÃO,229,81.932,SOJA,66.000,7,ALPHAMAR,25/06/23,27/06/23
9641704,MAGIC CALLISTO,EXPORTAÇÃO,225,74.930,MILHO,67.200,7,ALPHAMAR,01/07/23,27/06/23
9311189,MV GLORY CUIABA,EXPORTAÇÃO,225,75.886,SOJA,66.471,7.5,L.M.A. SHIPPING & CONSULTING,26/06/23,27/06/23
9582453,STAR ASTRID,EXPORTAÇÃO,229,82.158,SOJA,66.000,7,ALPHAMAR,02/07/23,27/06/23
9933248,AQUAPRIMA,EXPORTAÇÃO,229,82,MILHO,71.400,7.9,CARGONAVE,04/07/23,27/06/23
9144380,BRAGE R,TRANSBORDO,89,3.200,DIESEL,200,4,OCEANMAR SERVIÇOS MARÍTIMOS LTDA,20/09/21,27/06/23
9468815,BOLERO,IMPORTAÇÃO,189,50.094,OLEO.COMBUSTÍVEL,4.000,9,LACHMANN,09/06/23,27/06/23
9559200,DN 204,TRANSBORDO,29,381,BUNKER,3.000,2.44,ORION RODOS,26/02/22,27/06/23
9580120,GOLF,EXPORTAÇÃO,180,35.445,COBRE,161,7,WILHELMSEN PORT SERVICES BRASIL LTDA,17/04/22,27/06/23
9587477,AM POINT LISAS,EXPORTAÇÃO,229,93.191,SOJA,70.000,9.14,FERTIMPORT,27/06/23,27/06/23
9602772,INES CORRADO,EXPORTAÇÃO,229,81.263,SOJA,64.030,7.77,ORION RODOS,29/06/23,27/06/23
9343209,TORM CAVATINA,IMPORTAÇÃO,183,46.067,OUTRAS,25.100,8,WILSON SONS SHIPPING SERVICES LTDA,24/06/23,27/06/23
9418119,HORIZON ELECTRA,IMPORTAÇÃO,183,49.999,DIESEL,6.240,10,NORTH STAR,29/06/23,27/06/23
9753703,HAFNIA TANZANITE,IMPORTAÇÃO,183,44.999,GASOLINAS,35.974,11.2,LACHMANN,22/06/23,27/06/23
9538141,ALHENA,IMPORTAÇÃO,183,52.420,QUEROSENES,3.600,8,LACHMANN,27/06/23,27/06/23
9824980,GRANDIS,EXPORTAÇÃO,202,62.353,CELULOSE,19.392,7,WILSON SONS SHIPPING SERVICES LTDA,11/07/23,06/07/23
9824992,ROBUSTA,EXPORTAÇÃO,202,62.362,CELULOSE,590,7,WILSON SONS SHIPPING SERVICES LTDA,14/07/23,06/07/23
9860623,SANTA INES,EXPORTAÇÃO,200,63.449,CONCENTRADO.COBRE,13.500,11.25,GEM,13/07/23,06/07/23
9603805,STAR LUSTER,IMPORTAÇÃO,204,50.740,MES9,5.400,12.6,ROCHAMAR,11/07/23,06/07/23
9606833,FEDERAL SKYE,IMPORTAÇÃO,190,37.133,ANTRACITA,33.000,9.65,ISS MARINE,20/07/23,06/07/23
9732424,AMIS JUSTICE,IMPORTAÇÃO,200,63.531,MAP,40.000,10.2,ROCHAMAR,11/07/23,06/07/23
9263069,MORNINGSTAR,IMPORTAÇÃO,190,46.859,MES9,23.403,9.62,ROCHAMAR,18/07/23,06/07/23
