Berço,IMO,Navio,Operação,Bordo,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Ultima Atualização
B104,9848338,MARITIME TRANQUILITY,IMPORTAÇÃO,BOMBORDO,183,49.999,DIESEL,33.171,11.6,LBH BRASIL,10/07/23
B105,9587477,AM POINT LISAS,EXPORTAÇÃO,BORESTE,229,93.191,SOJA,70.000,9.14,FERTIMPORT,10/07/23
B106,9407407,HORIZON THEONI,IMPORTAÇÃO,BORESTE,183,49.997,GASOLINA,32.300,10,LACHMANN,10/07/23
B108,9418119,HORIZON ELECTRA,IMPORTAÇÃO,BOMBORDO,183,49.999,OUTRAS,17.568,10,NORTH STAR,10/07/23
B099,9832456,EUCALYPTUS,IMPORTAÇÃO,BORESTE,180,36.300,FERTILIZANTES,7.000,10.2,LBH BRASIL,13/07/23
B100,9461192,AEOLIAN FORTUNE,EXPORTAÇÃO,BORESTE,229,82.099,SOJA,68.550,7.56,CARGONAVE,13/07/23
B101,9638501,THOR CHAICHANA,IMPORTAÇÃO,BORESTE,197,58.605,FERTILIZANTES,47.350,11,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,13/07/23
B102,9791963,INCHEON BAY,IMPORTAÇÃO,BOMBORDO,180,37.501,FERTILIZANTES,4.403,10.5,LBH BRASIL,13/07/23
B104,9407407,HORIZON THEONI,IMPORTAÇÃO,BORESTE,183,49.997,GASOLINA,32.300,10,LACHMANN,13/07/23
B105,9343845,KYZIKOS,EXPORTAÇÃO,BORESTE,230,92.598,GRAOS,70.000,7.61,FERTIMPORT,13/07/23
B106,9520857,FLAGSHIP VIOLET,IMPORTAÇÃO,BOMBORDO,228,74.999,DIESEL,32.600,13.35,LACHMANN,13/07/23
B108,9512185,PACCHA,IMPORTAÇÃO,BORESTE,189,50.091,DIESEL S 500,46.300,11.9,LACHMANN,13/07/23
B099,9719331,KIBO,IMPORTAÇÃO,BORESTE,182,38.896,FERTILIZANTES,14.251,6.5,LBH BRASIL,16/07/23
B100,9582453,STAR ASTRID,EXPORTAÇÃO,BOMBORDO,229,82.158,SOJA,66.000,7,ALPHAMAR,16/07/23
B101,9638501,THOR CHAICHANA,IMPORTAÇÃO,BORESTE,197,58.605,FERTILIZANTES,47.350,11,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,16/07/23
B102,9599004,SEAMEC GALLANT,IMPORTAÇÃO,BORESTE,180,32.289,MAP,6.862,10.22,ORION RODOS,16/07/23
B103,9801316,BRIGHT IMABARI,EXPORTAÇÃO,BORESTE,200,63.504,BAGACOS,45.000,6.45,FERTIMPORT,16/07/23
B104,9700342,SEAWAYS LOOKOUT,IMPORTAÇÃO,BORESTE,183,50.135,GASOLINA,25.000,9.5,WILSON SONS SHIPPING SERVICES LTDA,16/07/23
B105,9425851,ETERNITY SW,EXPORTAÇÃO,BORESTE,190,58.098,FERRO,50.000,7,LBH BRASIL,16/07/23
B106,9520857,FLAGSHIP VIOLET,IMPORTAÇÃO,BOMBORDO,228,74.999,DIESEL,32.600,13.35,LACHMANN,16/07/23
B108,9403334,AVANTI,IMPORTAÇÃO,BOMBORDO,180,45.965,OUTRAS,50.591,10.5,NORTH STAR,16/07/23
B099,9719331,KIBO,IMPORTAÇÃO,BORESTE,182,38.896,FERTILIZANTES,14.251,6.5,LBH BRASIL,18/07/23
B100,9641704,MAGIC CALLISTO,EXPORTAÇÃO,BOMBORDO,225,74.930,MILHO,67.200,7,ALPHAMAR,18/07/23
B101,9808340,CIELO DI IYO,IMPORTAÇÃO,BOMBORDO,183,37.204,MOP,35.680,10.4,LACHMANN,18/07/23
B102,9697832,FEDERAL BERING,IMPORTAÇÃO,BORESTE,200,34.564,MOP,20.842,8.3,ORION RODOS,18/07/23
B103,9801316,BRIGHT IMABARI,EXPORTAÇÃO,BORESTE,200,63.504,BAGACOS,45.000,6.45,FERTIMPORT,18/07/23
B104,9700342,SEAWAYS LOOKOUT,IMPORTAÇÃO,BORESTE,183,50.135,GASOLINA,25.000,9.5,WILSON SONS SHIPPING SERVICES LTDA,18/07/23
B105,9860623,SANTA INES,EXPORTAÇÃO,BORESTE,200,63.449,CONCENTRADO.COBRE,13.500,11.25,GEM,18/07/23
B106,9489900,SERGIO BUARQUE DE HOLANDA,IMPORTAÇÃO,BOMBORDO,183,48.573,DIESEL,8.000,12,LACHMANN,18/07/23
B108,9403334,AVANTI,IMPORTAÇÃO,BOMBORDO,180,45.965,OUTRAS,50.591,10.5,NORTH STAR,18/07/23
B099,9824992,ROBUSTA,EXPORTAÇÃO,BORESTE,202,62.362,CELULOSE,590,7,WILSON SONS SHIPPING SERVICES LTDA,20/07/23
B100,9641704,MAGIC CALLISTO,EXPORTAÇÃO,BOMBORDO,225,74.930,MILHO,67.200,7,ALPHAMAR,20/07/23
B101,9808340,CIELO DI IYO,IMPORTAÇÃO,BOMBORDO,183,37.204,MOP,35.680,10.4,LACHMANN,20/07/23
B102,9697832,FEDERAL BERING,IMPORTAÇÃO,BORESTE,200,34.564,MOP,20.842,8.3,ORION RODOS,20/07/23
B103,9938779,CL XIANGXI,EXPORTAÇÃO,BORESTE,229,82.328,SOJA,66.000,7,ALPHAMAR,20/07/23
B104,9700342,SEAWAYS LOOKOUT,IMPORTAÇÃO,BORESTE,183,50.135,GASOLINA,25.000,9.5,WILSON SONS SHIPPING SERVICES LTDA,20/07/23
B105,9913339,EVER ZENITH,EXPORTAÇÃO,BORESTE,229,82,MILHO,66.000,7.7,CARGONAVE,20/07/23
B106,9380087,JOROPO,IMPORTAÇÃO,BORESTE,183,47.410,GASOLINA,28.000,10,LACHMANN,20/07/23
B108,9403334,AVANTI,IMPORTAÇÃO,BOMBORDO,180,45.965,OUTRAS,50.591,10.5,NORTH STAR,20/07/23
B099,9824992,ROBUSTA,EXPORTAÇÃO,BORESTE,202,62.362,CELULOSE,590,7,WILSON SONS SHIPPING SERVICES LTDA,20/07/23
B100,9591997,PHOENIX OCEAN,EXPORTAÇÃO,BORESTE,225,76.067,SOJA,65.898,7,LBH BRASIL,20/07/23
B101,9808340,CIELO DI IYO,IMPORTAÇÃO,BOMBORDO,183,37.204,MOP,35.680,10.4,LACHMANN,20/07/23
B102,9356402,UNISPIRIT,IMPORTAÇÃO,BOMBORDO,132,9.775,TRILHOS,4.306,7,HARMS E CIA,21/07/23
B103,9938779,CL XIANGXI,EXPORTAÇÃO,BORESTE,229,82.328,SOJA,66.000,7,ALPHAMAR,20/07/23
B104,9294276,G BRIGHT,IMPORTAÇÃO,BORESTE,141,19.931,SODA CÁUSTICA,6.282,9.56,ZYON SHIPPING,21/07/23
B105,9671058,FEDERAL CHAMPLAIN,EXPORTAÇÃO,BOMBORDO,200,34.564,COBRE,11.550,7,WILHELMSEN PORT SERVICES BRASIL LTDA,21/07/23
B106,9380087,JOROPO,IMPORTAÇÃO,BORESTE,183,47.410,GASOLINA,28.000,10,LACHMANN,20/07/23
B108,9403334,AVANTI,IMPORTAÇÃO,BOMBORDO,180,45.965,OUTRAS,50.591,10.5,NORTH STAR,20/07/23
B099,9824992,ROBUSTA,EXPORTAÇÃO,BORESTE,202,62.362,CELULOSE,590,7,WILSON SONS SHIPPING SERVICES LTDA,23/07/23
B100,9514377,NORDIC STAVANGER,EXPORTAÇÃO,BOMBORDO,190,56.172,SOJA,47.000,7,ALPHAMAR,23/07/23
B101,9703514,GENTLE SEAS,IMPORTAÇÃO,BOMBORDO,200,63.350,FERTILIZANTES,14.950,7,WILHELMSEN PORT SERVICES BRASIL LTDA,23/07/23
B102,9596856,LUCIO COSTA,IMPORTAÇÃO,BORESTE,118,5.097,GLP,3.500,7.2,LACHMANN,23/07/23
B103,9802308,GOODWYN ISLAND,EXPORTAÇÃO,BORESTE,200,63.963,SOJA,66.000,6.9,CARGONAVE,23/07/23
B104,9657038,NAVE JUPITER,IMPORTAÇÃO,BOMBORDO,183,49.999,DIESEL,45.000,12.3,LACHMANN,23/07/23
B105,9706530,ALMA,EXPORTAÇÃO,BORESTE,229,81.947,SOJA,70.000,7.1,FERTIMPORT,23/07/23
B106,9390020,STENA PROGRESS,EXPORTAÇÃO,BORESTE,183,65.118,GASOLINA,35.400,8,LACHMANN,23/07/23
B108,9425540,ENDLESS SUMMER,IMPORTAÇÃO,BORESTE,183,49.999,GASOLINA,35.000,10,LACHMANN,23/07/23
B099,9603805,STAR LUSTER,IMPORTAÇÃO,BORESTE,204,50.740,MES9,5.400,12.6,ROCHAMAR,24/07/23
B100,9697868,SAKIZAYA DIAMOND,EXPORTAÇÃO,BORESTE,229,81.938,SOJA,70.500,7.13,LBH BRASIL,24/07/23
B102,9596856,LUCIO COSTA,IMPORTAÇÃO,BORESTE,118,5.097,GLP,3.500,7.2,LACHMANN,24/07/23
B103,9802308,GOODWYN ISLAND,EXPORTAÇÃO,BORESTE,200,63.963,SOJA,66.000,6.9,CARGONAVE,24/07/23
B104,9657038,NAVE JUPITER,IMPORTAÇÃO,BOMBORDO,183,49.999,DIESEL,45.000,12.3,LACHMANN,24/07/23
B105,9706530,ALMA,EXPORTAÇÃO,BORESTE,229,81.947,SOJA,70.000,7.1,FERTIMPORT,24/07/23
B106,9356751,BEKS FENIX,IMPORTAÇÃO,BOMBORDO,189,49.933,DIESEL,32.696,12.35,NORTH STAR,24/07/23
B108,9425540,ENDLESS SUMMER,IMPORTAÇÃO,BORESTE,183,49.999,GASOLINA,35.000,10,LACHMANN,24/07/23
B099,9008706,ARACARI ARROW,EXPORTAÇÃO,BORESTE,199,46.956,CELULOSE,26.900,9,WILSON SONS SHIPPING SERVICES LTDA,28/07/23
B100,9774472,KANG MAY,EXPORTAÇÃO,BORESTE,228,85.001,SOJA,65.000,7.54,FERTIMPORT,29/07/23
B101,9732424,AMIS JUSTICE,IMPORTAÇÃO,BORESTE,200,63.531,MAP,40.000,9.8,ROCHAMAR,28/07/23
B102,9508407,BBC EVEREST,IMPORTAÇÃO,BORESTE,126,9.310,DORMENTES,1.112,7.4,ORION RODOS,29/07/23
B103,9949651,GRAND OCEAN,EXPORTAÇÃO,BORESTE,229,82.689,SOJA,66.000,7.6,ORION RODOS,28/07/23
B104,9402782,OCEAN ELECTRA,IMPORTAÇÃO,BORESTE,183,47.377,OLEO.COMBUSTÍVEL,4.600,11,LACHMANN,29/07/23
B105,9703459,DEVBULK CANSEN,EXPORTAÇÃO,BORESTE,177,35.309,CONCENTRADO.COBRE,34.748,7,LBH BRASIL,29/07/23
B106,9849265,CLEAROCEAN MELODY,IMPORTAÇÃO,BORESTE,183,49.995,DIESEL,41.000,11,LACHMANN,28/07/23
B108,9416082,SHAMROCK JUPITER,IMPORTAÇÃO,BORESTE,147,19.836,DIESEL,9.240,8,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,28/07/23
